text,label
"The Ministry hereby invites tenders for supply of office stationery under GeM portal. Vendors must comply with the General Financial Rules.",1
"This Office Memorandum prescribes revised threshold limits for procurement of goods and services without competitive bidding.",1
"Penalty clause: any vendor found in breach of contract terms shall be blacklisted for a period of three years from all government procurement.",1
"All procurement above INR 25 lakh must be routed through the e-procurement portal. Single-source justification required otherwise.",1
"Vendor eligibility criteria: bidders must have a minimum annual turnover of INR 1 crore and three years of relevant experience.",1
"The departmental picnic will be held on Saturday at the designated recreation ground. Attendance is voluntary and informal.",0
"Staff are reminded to update their Annual Property Return by the end of this month as per the prescribed format.",0
"The canteen rates for subsidised meals have been revised with effect from the first of next month. New rate chart is enclosed.",0
"Office timings during the upcoming festival week will be 10:00 AM to 5:00 PM. Biometric attendance is mandatory.",0
"A training session on office productivity tools has been scheduled for all clerical staff in Conference Room B.",0
