filename,url,source_class
Push_Button_Procurement_0.pdf,,relevant
GeM_through_PFMS_non_PFMS_Agencies_Entities_NPAE_reg_1_0.pdf,,relevant
RelaxNorms_StarupMedEnterprise25072016.pdf,,relevant
Department_of_Public_Enterprises_circular.pdf,,relevant
MfPoCS_2025.pdf,,relevant
MfPoNCS_2025.pdf,,relevant
Works_Manual_SE_2025.pdf,,relevant
Manual_Goods_2024.pdf,,relevant
Draft_Works_Manual_2nd_Edition.pdf,,relevant
Manual_for_Procurement_of_Works_Updated June_ 2022.pdf,,relevant
3045759_Draft-Regulation-Minimum-Qualifications-for-Appointment-and-Promotion-of-Teachers-and-Academic-Staff-in-Universities-and-Colleges-and-Measures-for-the-Maintenance-of-Standards-in-HE-Regulations-2025.pdf,,not_relevant
DoE_Prevention_sexual_harassment.pdf,,not_relevant
Signed Circular of 19th PPM Course at MDI GurugramMMdh6.pdf,,not_relevant
FAQs.pdf,,not_relevant
FinalCivilList01092026.pdf,,not_relevant
VCORDNWM66atvzv.pdf,,not_relevant
faq sct.pdf,,not_relevant
GKRY.pdf,,not_relevant
8thcpcnotification.pdf,,not_relevant
LogoReport.pdf,,not_relevant
